AMOSTRA,area,REP,COL,H,N,S,UR,T,D_EV1,F1_LC__m,F1_LP,F1_EL__m,F1_NP,F1_GP__m,F1_SP__m,F1_OC__m,D_EV2,F2_LC__m,F2_LP,F2_EL__m,F2_NP,F2_GP__m,F2_SP__m,F2_OC__m,D_EV3,F3_LC__m,F3_LP,F3_EL__m,F3_NP,F3_GP__m,F3_SP__m,F3_OC__m
C3a3,C3a,3,A,2.415,20,13,78,23.6,0.7109345260650571,536400,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,0.117056461,127260,74,361800,900,760500
C3a4,C3a,4,A,2.752,17,16,78,23.6,0.7109345260650571,536400,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,0.117056461,127260,74,361800,900,760500
C3b1,C3b,1,B,2.307,16,11,82.9,22.3,0.6525185237665739,234900,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,0.117092907,120420,94,531900,900,1071000
C3b2,C3b,2,B,1.303,9,5,82.9,22.3,0.6525185237665739,234900,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,0.117092907,120420,94,531900,900,1071000
C3b3,C3b,3,B,1.099,3,3,82.9,22.3,0.6525185237665739,234900,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,0.117092907,120420,94,531900,900,1071000
C3b4,C3b,4,B,1.946,7,7,82.9,22.3,0.6525185237665739,234900,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,0.117092907,120420,94,531900,900,1071000
C3c1,C3c,1,C,0,1,1,77.4,24,0.5671634614351893,107100,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,0.088271787,87120,77,577800,900,765900
C3c2,C3c,2,C,1.386,4,4,77.4,24,0.5671634614351893,107100,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,0.088271787,87120,77,577800,900,765900
C3c3,C3c,3,C,1.04,4,3,77.4,24,0.5671634614351893,107100,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,0.088271787,87120,77,577800,900,765900
C3c4,C3c,4,C,1.889,9,7,77.4,24,0.5671634614351893,107100,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,0.088271787,87120,77,577800,900,765900
