codigo,area,CLASSE,REP,COL,S,N,H,UR,T,D_EV1,F1_LC,Fsa1_LC (4),FCa1_LC (12),S1_LC (9),P1_LC (15),MU1_LC (21),NVeg1_LC (25),So1_LC (39),LT1_LC (41),C1_LC (46),Cit1_LC (47),LP1_LC (48),F1_LP,F1_EL,F1_NP,F1_GP,F1_SP,F1_OC,D_EV2,F2_LC,Fsa2_LC (4),FCa2_LC (12),S2_LC (9),P2_LC (15),MU2_LC (21),NVeg2_LC (25),So2_LC (39),LT2_LC (41),C2_LC (46),LP2_LC (48),Cit2_LC (47),F2_LP,F2_EL,F2_NP,F2_GP,F2_SP,F2_OC,D_EV3,F3_LC__m,Fsa3_LC (4),S3_LC (9),FCa3_LC (12),P3_LC (15),MU3_LC (21),NVeg3_LC (25),So3_LC (39),LT3_LC (41),C3_LC (46),LP3_LC (48),Cit3_LC (47),F3_LP,F3_EL,F3_NP,F3_GP,F3_SP,F3_OC
F4b2,F4b,floresta,2,B,6,10,1.643,95.9,15.7,0.653070879,1772100,0,0,0,0,28800,0,0,0,0,0,0,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0,0,5400,49500,196200,0,0,0,0,0,0,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0,18000,0,774900,466200,0,0,0,0,0,0,0.839310199,55620,15,12981600,900,12798900
F4b3,F4b,floresta,3,B,5,10,1.557,95.9,15.7,0.653070879,1772100,0,0,0,0,28800,0,0,0,0,0,0,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0,0,5400,49500,196200,0,0,0,0,0,0,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0,18000,0,774900,466200,0,0,0,0,0,0,0.839310199,55620,15,12981600,900,12798900
F4b4,F4b,floresta,4,B,7,16,1.721,95.9,15.7,0.653070879,1772100,0,0,0,0,28800,0,0,0,0,0,0,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0,0,5400,49500,196200,0,0,0,0,0,0,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0,18000,0,774900,466200,0,0,0,0,0,0,0.839310199,55620,15,12981600,900,12798900
F4c1,F4c,floresta,1,C,1,1,0,94.4,18.6,0.465522227,3118500,0,0,0,30600,243000,0,0,0,0,0,0,0.918124006,14160,2,3117600,900,2723400,0.560508897,10198800,0,0,195300,1227600,1821600,0,0,0,156600,0,0,0.748332563,73560,9,10056600,900,8185500,0,522483883,23275800,0,434700,0,3124800,3543300,0,0,11700,208800,0,0,0,758750183,152160,8,23148000,900,19173600
F4c2,F4c,floresta,2,C,1,1,0,94.4,18.6,0.465522227,3118500,0,0,0,30600,243000,0,0,0,0,0,0,0.918124006,14160,2,3117600,900,2723400,0.560508897,10198800,0,0,195300,1227600,1821600,0,0,0,156600,0,0,0.748332563,73560,9,10056600,900,8185500,0,522483883,23275800,0,434700,0,3124800,3543300,0,0,11700,208800,0,0,0,758750183,152160,8,23148000,900,19173600
F4c3,F4c,floresta,3,C,1,1,0,94.4,18.6,0.465522227,3118500,0,0,0,30600,243000,0,0,0,0,0,0,0.918124006,14160,2,3117600,900,2723400,0.560508897,10198800,0,0,195300,1227600,1821600,0,0,0,156600,0,0,0.748332563,73560,9,10056600,900,8185500,0,522483883,23275800,0,434700,0,3124800,3543300,0,0,11700,208800,0,0,0,758750183,152160,8,23148000,900,19173600
C1a1,C1a,café,1,A,9,15,1.987,90.3,23.3,0.7641793535382977,493200,0,50400,5400,1266300,701100,0,0,72900,730800,0,0,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0,276300,18000,5640300,2777400,16200,689400,875700,1259100,5400,0,0.142914172,62400,45,270000,900,531000,0.7039456928129142,3825000,0,23400,920700,13295700,6088500,41400,1959300,2003400,2256300,5400,0,0,125594728,117540,85,1019700,900,1179000
C1a2,C1a,café,2,A,13,17,2.476,90.3,23.3,0.7641793535382977,493200,0,50400,5400,1266300,701100,0,0,72900,730800,0,0,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0,276300,18000,5640300,2777400,16200,689400,875700,1259100,5400,0,0.142914172,62400,45,270000,900,531000,0.7039456928129142,3825000,0,23400,920700,13295700,6088500,41400,1959300,2003400,2256300,5400,0,0,125594728,117540,85,1019700,900,1179000
C1a3,C1a,café,3,A,11,13,2.352,90.3,23.3,0.7641793535382977,493200,0,50400,5400,1266300,701100,0,0,72900,730800,0,0,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0,276300,18000,5640300,2777400,16200,689400,875700,1259100,5400,0,0.142914172,62400,45,270000,900,531000,0.7039456928129142,3825000,0,23400,920700,13295700,6088500,41400,1959300,2003400,2256300,5400,0,0,125594728,117540,85,1019700,900,1179000
C1a4,C1a,café,4,A,18,28,2.682,90.3,23.3,0.7641793535382977,493200,0,50400,5400,1266300,701100,0,0,72900,730800,0,0,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0,276300,18000,5640300,2777400,16200,689400,875700,1259100,5400,0,0.142914172,62400,45,270000,900,531000,0.7039456928129142,3825000,0,23400,920700,13295700,6088500,41400,1959300,2003400,2256300,5400,0,0,125594728,117540,85,1019700,900,1179000
